p_id,nationality,product_id,product_type,product_name,serviced_by,inclusions,service_description,visa_entry,visa_validity,visa_duration,min_no_of_hrs,max_no_of_hrs,airport,airport_code,arrival_terminal,departure_terminal,travel_type,city,country,supplier,rate_application,currency,adult_cost_price,adult_cost_tax,child_cost_price,child_cost_tax,group_size_min,group_size_max,group_price,group_price_tax,exceptions,booking_cut_off,time_zone,service_charge_adult,total,service_tax_adult,service_charge_child,service_tax_child,service_tax_applicable_on,sales_cut_off,cancellation_time,cancellation_charges,discount,discount_amount,output_price,sac,cgst,sgst,igst,vat,booking_type,is_active
•	Escort to the VIP airline lounge (if applicable) or directly to gate of your connecting flight with priority boarding",,,,,,,Charles De Gaulle,CDG,,,All,Paris,France,La Cociegerie,Group,Euro,,,,,6,6,305,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
13,All,2,Arrival,VIP Premium,,"•	Our concierge waits the guest at the aerobridge
•	Escort through border control and security checks with a priority access
•	Baggage porterage (4 bags)
•	Transfer to your hotel in Paris in Mercedes S Class",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,300,,,,1,3,,,,24,+2 hrs,90,390,,,,,,,,,,,,,,,,Confirm,Y
14,All,2,Arrival,VIP Premium,,"•	Our concierge waits the guest at the aerobridge
•	Escort through border control and security checks with a priority access
•	Baggage porterage (4 bags)
•	Transfer to your hotel in Paris in Mercedes S Class",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,4,4,335,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
15,All,2,Arrival,VIP Premium,,"•	Our concierge waits the guest at the aerobridge
•	Escort through border control and security checks with a priority access
•	Baggage porterage (4 bags)
•	Transfer to your hotel in Paris in Mercedes S Class",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,5,5,370,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
16,All,2,Arrival,VIP Premium,,"•	Our concierge waits the guest at the aerobridge
•	Escort through border control and security checks with a priority access
•	Baggage porterage (4 bags)
•	Transfer to your hotel in Paris in Mercedes S Class",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,6,6,405,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
17,All,2,Departure,VIP Premium,,"•	Pick up from your hotel in Paris in Mercedes S Class for your transfers to the airport
•	Our concierge will meet the guest at the kerbside of the terminal your departing flight 
•	Tax refund assistance and other airport assistance (if needed)
•	Baggage porterage (max 4 bags) to check-in and obtain your boarding pass
•	Escort through border control and security checks with a priority access
•	Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,300,,,,1,3,,,,24,+2 hrs,90,390,,,,,,,,,,,,,,,,Confirm,Y
18,All,2,Departure,VIP Premium,,"•	Pick up from your hotel in Paris in Mercedes S Class for your transfers to the airport
•	Our concierge will meet the guest at the kerbside of the terminal your departing flight 
•	Tax refund assistance and other airport assistance (if needed)
•	Baggage porterage (max 4 bags) to check-in and obtain your boarding pass
•	Escort through border control and security checks with a priority access
•	Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,4,4,335,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
19,All,2,Departure,VIP Premium,,"•	Pick up from your hotel in Paris in Mercedes S Class for your transfers to the airport
•	Our concierge will meet the guest at the kerbside of the terminal your departing flight 
•	Tax refund assistance and other airport assistance (if needed)
•	Baggage porterage (max 4 bags) to check-in and obtain your boarding pass
•	Escort through border control and security checks with a priority access
•	Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,5,5,370,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
20,All,2,Departure,VIP Premium,,"•	Pick up from your hotel in Paris in Mercedes S Class for your transfers to the airport
•	Our concierge will meet the guest at the kerbside of the terminal your departing flight 
•	Tax refund assistance and other airport assistance (if needed)
•	Baggage porterage (max 4 bags) to check-in and obtain your boarding pass
•	Escort through border control and security checks with a priority access
•	Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,6,6,405,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
21,All,2,Arrival,VIP Ultimate,,"•	Our concierge waits the guest at the door of the aircraft
•	Runway transfers in limousine from aircraft to private lounge
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
•	All the formalities will be done at the private lounge (Passport control customs Securities) 
•	While you will relax at the lounge, we collect transport your baggage from the baggage collection area to your lounge.",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Per Person,Euro,800,,,,,,,,,24,+2 hrs,240,1040,,,,,,,,,,,,,,,,Confirm,Y
22,All,2,Arrival,VIP Ultimate,,"•	Our concierge waits the guest at the door of the aircraft
•	Runway transfers in limousine from aircraft to private lounge
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
•	All the formalities will be done at the private lounge (Passport control, customs, Securities) 
•	While you will relax at the lounge, we collect transport your baggage from the baggage collection area to your lounge.",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,2,2,835,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
23,All,2,Arrival,VIP Ultimate,,"•	Our concierge waits the guest at the door of the aircraft
•	Runway transfers in limousine from aircraft to private lounge
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
•	All the formalities will be done at the private lounge (Passport control, customs, Securities) 
•	While you will relax at the lounge, we collect transport your baggage from the baggage collection area to your lounge.",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,3,3,870,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
24,All,2,Arrival,VIP Ultimate,,"•	Our concierge waits the guest at the door of the aircraft
•	Runway transfers in limousine from aircraft to private lounge
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
•	All the formalities will be done at the private lounge (Passport control, customs, Securities) 
•	While you will relax at the lounge, we collect transport your baggage from the baggage collection area to your lounge.",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,4,4,905,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
25,All,2,Arrival,VIP Ultimate,,"•	Our concierge waits the guest at the door of the aircraft
•	Runway transfers in limousine from aircraft to private lounge
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
•	All the formalities will be done at the private lounge (Passport control, customs, Securities) 
•	While you will relax at the lounge, we collect transport your baggage from the baggage collection area to your lounge.",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,5,5,940,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
26,All,2,Arrival,VIP Ultimate,,"•	Our concierge waits the guest at the door of the aircraft
•	Runway transfers in limousine from aircraft to private lounge
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
•	All the formalities will be done at the private lounge (Passport control, customs, Securities) 
•	While you will relax at the lounge, we collect transport your baggage from the baggage collection area to your lounge.",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Group,Euro,,,,,6,6,975,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
27,All,2,Departure,VIP Ultimate,,"•	Our concierge will meet the guest at the kerbside of the terminal your departing flight 
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
•	All the formalities will be done at the private lounge (Passport control, customs, Securities) 
•	Runway transfers in limousine from the private lounge to the aircraft",,,,,,,Charles De Gaulle,CDG,,,,Paris,France,La Cociegerie,Per Person,Euro,800,,,,,,,,,24,+2 hrs,240,1040,,,,,,,,,,,,,,,,Confirm,Y
28,All,2,Departure,VIP Ultimate,,"•	Our concierge will meet the guest at the kerbside of the terminal your departing flight 
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
•	All the formalities will be done at the private lounge (Passport control, customs, Securities) 
